year,price_usd_per_troy_oz,frequency,source,source_url,notes
2009,972.966,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
2010,1224.664,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
2011,1569.211,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
2012,1669.520,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
2013,1411.462,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
2014,1265.580,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
2015,1160.663,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
2016,1248.988,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
2017,1257.559,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
2018,1269.230,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
2019,1392.498,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
2020,1770.250,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
2021,1799.629,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
2022,1800.600,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
2023,1942.670,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
2024,2387.702,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
2025,3441.510,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
