year_month,price_usd_per_troy_oz,frequency,source,source_url,notes
1982-05,432.88,monthly,"World Gold Council (WGC) – Monthly_Avg, USD (LBMA Gold Price)",https://www.gold.org/goldhub/data/gold-prices,Monthly average USD price per troy ounce; year-end-month value used when downsampled to annual.
1982-06,438.01,monthly,"World Gold Council (WGC) – Monthly_Avg, USD (LBMA Gold Price)",https://www.gold.org/goldhub/data/gold-prices,Monthly average USD price per troy ounce; year-end-month value used when downsampled to annual.
1982-07,412.84,monthly,"World Gold Council (WGC) – Monthly_Avg, USD (LBMA Gold Price)",https://www.gold.org/goldhub/data/gold-prices,Monthly average USD price per troy ounce; year-end-month value used when downsampled to annual.
1982-08,422.72,monthly,"World Gold Council (WGC) – Monthly_Avg, USD (LBMA Gold Price)",https://www.gold.org/goldhub/data/gold-prices,Monthly average USD price per troy ounce; year-end-month value used when downsampled to annual.
1982-09,416.24,monthly,"World Gold Council (WGC) – Monthly_Avg, USD (LBMA Gold Price)",https://www.gold.org/goldhub/data/gold-prices,Monthly average USD price per troy ounce; year-end-month value used when downsampled to annual.
1982-10,411.8,monthly,"World Gold Council (WGC) – Monthly_Avg, USD (LBMA Gold Price)",https://www.gold.org/goldhub/data/gold-prices,Monthly average USD price per troy ounce; year-end-month value used when downsampled to annual.
1982-11,393.58,monthly,"World Gold Council (WGC) – Monthly_Avg, USD (LBMA Gold Price)",https://www.gold.org/goldhub/data/gold-prices,Monthly average USD price per troy ounce; year-end-month value used when downsampled to annual.
1982-12,381.66,monthly,"World Gold Council (WGC) – Monthly_Avg, USD (LBMA Gold Price)",https://www.gold.org/goldhub/data/gold-prices,Monthly average USD price per troy ounce; year-end-month value used when downsampled to annual.
1983-01,388.34,monthly,"World Gold Council (WGC) – Monthly_Avg, USD (LBMA Gold Price)",https://www.gold.org/goldhub/data/gold-prices,Monthly average USD price per troy ounce; year-end-month value used when downsampled to annual.
1983-02,370.89,monthly,"World Gold Council (WGC) – Monthly_Avg, USD (LBMA Gold Price)",https://www.gold.org/goldhub/data/gold-prices,Monthly average USD price per troy ounce; year-end-month value used when downsampled to annual.
1983-03,385.92,monthly,"World Gold Council (WGC) – Monthly_Avg, USD (LBMA Gold Price)",https://www.gold.org/goldhub/data/gold-prices,Monthly average USD price per troy ounce; year-end-month value used when downsampled to annual.
