year_month,index_level,frequency,source,source_url,notes
1996-01,537.35,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1996-02,552.94,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1996-03,556.39,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1996-04,681.15,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1996-05,643.65,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1996-06,804.25,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1996-07,822.47,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1996-08,809.93,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1996-09,875.52,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1996-10,976.71,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1996-11,1032.94,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1996-12,917.01,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1997-01,964.74,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1997-02,1040.02,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1997-03,1234.61,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1997-04,1393.74,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1997-05,1285.18,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1997-06,1250.27,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1997-07,1189.76,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1997-08,1221.06,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1997-09,1097.38,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1997-10,1180.39,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1997-11,1139.62,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1997-12,1194.10,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1998-01,1222.91,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1998-02,1206.53,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1998-03,1243.01,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1998-04,1343.44,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1998-05,1411.20,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1998-06,1339.20,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1998-07,1316.91,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1998-08,1150.22,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1998-09,1242.89,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1998-10,1217.31,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1998-11,1247.41,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1998-12,1146.70,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
