year_month,index_level,frequency,source,source_url,notes
2008-10,1663.66,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2008-11,1829.92,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2008-12,1817.72,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2009-01,2032.68,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2009-02,2140.49,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2009-03,2507.79,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2009-04,2622.93,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2009-05,2759.71,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2009-06,3166.47,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2009-07,3734.62,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2009-08,2830.27,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2009-09,3004.80,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2009-10,3280.37,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2009-11,3511.67,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2009-12,3575.68,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2010-01,3204.16,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2010-02,3281.67,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2010-03,3345.61,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2010-04,3067.36,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2010-05,2773.26,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2010-06,2563.07,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2010-07,2868.85,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2010-08,2903.19,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2010-09,2935.57,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2010-10,3379.98,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2010-11,3136.99,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2010-12,3128.26,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2011-01,3076.51,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2011-02,3239.56,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2011-03,3223.29,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2011-04,3192.72,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2011-05,3001.56,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2011-06,3044.09,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2011-07,2972.08,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2011-08,2846.78,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2011-09,2581.35,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2011-10,2695.31,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2011-11,2521.52,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2011-12,2345.74,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2012-01,2464.26,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2012-02,2634.14,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2012-03,2454.90,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2012-04,2626.16,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2012-05,2632.04,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2012-06,2461.61,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2012-07,2332.92,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2012-08,2204.87,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2012-09,2293.11,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2012-10,2254.82,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2012-11,2139.66,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2012-12,2522.95,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2013-01,2686.88,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2013-02,2673.33,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2013-03,2495.08,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2013-04,2447.31,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2013-05,2606.43,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2013-06,2200.64,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2013-07,2193.02,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2013-08,2313.91,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2013-09,2409.04,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2013-10,2373.72,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2013-11,2438.94,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2013-12,2330.03,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2014-01,2202.45,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2014-02,2178.97,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2014-03,2146.30,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2014-04,2158.66,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2014-05,2156.46,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2014-06,2165.12,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2014-07,2350.25,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2014-08,2338.29,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2014-09,2450.99,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2014-10,2508.32,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2014-11,2808.82,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2014-12,3533.71,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2015-01,3434.39,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2015-02,3572.84,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2015-03,4051.20,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2015-04,4749.89,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2015-05,4840.83,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2015-06,4473.00,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2015-07,3816.70,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2015-08,3366.54,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2015-09,3202.95,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2015-10,3534.08,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2015-11,3566.41,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2015-12,3731.00,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2016-01,2946.09,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
